Name,Fantasy Points (Rushing),Fantasy Points (Receiving),Fumbles,Fantasy Points (Total)
DeMarco Murray,190.7,34.3,5,215.0
Arian Foster,132.1,49.5,2,177.6
Le'Veon Bell,122.6,76.3,0,198.9
Matt Forte,112.8,83.0,1,193.8
Eddie Lacy,113.1,53.2,2,162.3
Jamaal Charles,128.7,45.4,4,166.1
Marshawn Lynch,149.6,47.7,1,195.3
C.J. Anderson,59.6,35.8,0,95.4
Justin Forsett,142.9,22.7,1,163.6
Mark Ingram,112.7,11.1,1,121.8
Rashad Jennings,83.8,18.8,1,100.6
LeSean McCoy,125.8,11.1,3,130.9
Tre Mason,74.2,17.2,1,89.4
Joique Bell,88.1,21.8,3,103.9
Alfred Morris,131.3,12.5,2,139.8
Isaiah Crowell,89.5,6.1,3,89.6
Jeremy Hill,104.3,18.0,2,118.3
Daniel Herron,28.7,4.8,2,29.5
Ryan Mathews,46.4,6.5,1,50.9
Giovani Bernard,84.0,20.5,0,104.5
Frank Gore,83.2,16.6,2,95.8
Lamar Miller,108.9,23.1,3,126.0
Denard Robinson,79.2,12.4,2,87.6
Fred Jackson,47.1,40.0,2,83.1
LeGarrette Blount,39.6,3.6,1,41.2
Bishop Sankey,59.4,10.4,1,67.8
Jonathan Stewart,52.8,14.8,0,67.6
Andre Ellington,84.0,51.5,2,131.5
Steven Jackson,90.2,9.7,0,99.9
Shane Vereen,40.6,55.9,0,96.5
