Name,Fantasy Points (Rushing),Fantasy Points (Receiving),Fumbles,Fantasy Points (Total)
Matt Forte,79.6,69.7,1,147.3
Arian Foster,124.2,40.9,2,161.1
Le'Veon Bell,80.7,58.6,0,139.3
Marshawn Lynch,122.9,42.6,1,163.5
Jamaal Charles,89.3,24.9,2,110.2
LeSean McCoy,76.2,9.2,2,81.4
Eddie Lacy,71.8,33.7,2,101.5
Mark Ingram,91.1,6.7,0,97.8
Alfred Morris,96.5,6.8,2,99.3
Andre Ellington,76.2,45.2,2,117.4
Ahmad Bradshaw,54.1,65.3,2,115.4
Frank Gore,67.3,13.9,0,81.2
Shane Vereen,37.0,42.6,0,79.6
Terrance West,57.6,9.9,0,67.5
Jeremy Hill,70.4,14.6,1,83.0
Steven Jackson,66.6,7.4,0,74.0
Giovani Bernard,74.6,17.9,0,92.5
Jerick McKinnon,44.6,10.6,0,55.2
Trent Richardson,51.1,18.2,2,65.3
Rashad Jennings,51.6,10.9,1,60.5
Ryan Mathews,13.1,4.6,1,15.7
Joique Bell,53.7,17.4,2,67.1
Fred Jackson,30.9,36.0,2,62.9
C.J. Anderson,17.2,16.7,0,33.9
Lamar Miller,82.8,20.0,3,96.8
Bishop Sankey,42.0,8.3,0,50.3
Bobby Rainey,44.8,31.6,3,70.4
Ben Tate,58.2,6.0,0,64.2
Darren Sproles,40.8,24.4,1,63.2
Tre Mason,33.0,3.8,1,34.8
Jonathan Stewart,32.3,8.5,0,40.8
Darren McFadden,49.2,18.3,1,65.5
Charles Sims,2.3,1.7,1,2.0
Reggie Bush,25.1,16.9,0,42.0
DeAngelo Williams,12.6,3.0,0,15.6
Montee Ball,23.2,6.2,1,27.4
Andre Williams,57.5,5.4,1,60.9
Matt Asiata,63.7,25.9,1,87.6
Branden Oliver,49.1,22.9,0,72.0
Bryce Brown,5.0,6.5,1,9.5
Jonas Gray,13.1,0.0,0,13.1
Isaiah Crowell,59.7,1.6,2,57.3
Benny Cunningham,36.5,24.3,0,60.8
Anthony Dixon,24.3,1.5,0,25.8
Damien Williams,10.0,6.2,0,16.2
Peyton Hillis,11.5,8.7,0,20.2
Travaris Cadet,2.7,28.1,1,28.8
Carlos Hyde,39.4,1.7,0,41.1
Juwan Thompson,30.1,0.6,1,28.7
Pierre Thomas,25.3,26.4,0,51.7
